gene1,gene2,score
KPN_03043,KPN_03607,
KPN_02364,KPN_02825,0.967
KPN_02364,KPN_00484,0.9
KPN_04246,KPN_01464,
KPN_00456,KPN_02848,0.973
KPN_00456,KPN_04839,
KPN_00456,KPN_02238,0.7
KPN_00456,KPN_04492,
KPN_00120,KPN_00735,0.984
KPN_00120,KPN_00734,0.978
KPN_00733,KPN_00735,0.999
KPN_00733,KPN_00734,0.999
KPN_00732,KPN_00735,0.999
KPN_00732,KPN_00734,0.999
KPN_00096,KPN_00323,
KPN_04440,KPN_02308,
KPN_02876,KPN_00935,0.603
KPN_02876,KPN_03348,0.866
KPN_02876,KPN_04843,0.987
KPN_04249,KPN_03580,0.999
KPN_00695,KPN_04149,0.975
KPN_00002,KPN_04234,0.564
KPN_00645,KPN_00955,0.489
KPN_00040,KPN_00041,0.999
KPN_02190,KPN_00817,0.97
KPN_00727,KPN_00793,
KPN_00727,KPN_01770,0.648
KPN_00727,KPN_00796,
KPN_00727,KPN_00792,
KPN_00727,KPN_00795,
KPN_03409,KPN_03951,0.813
KPN_03428,KPN_01511,0.88
KPN_00937,KPN_03106,0.898
KPN_00937,KPN_00184,0.838
KPN_01523,KPN_00045,0.971
KPN_00355,KPN_02322,
KPN_00355,KPN_04316,
KPN_00793,KPN_01144,
KPN_01770,KPN_01144,0.684
KPN_02825,KPN_00484,0.961
KPN_01021,KPN_04178,0.887
KPN_02499,KPN_03757,0.972
KPN_02014,KPN_00134,0.918
KPN_00310,KPN_04239,0.796
KPN_00796,KPN_01144,
KPN_01144,KPN_00792,
KPN_01144,KPN_00795,
KPN_00080,KPN_03016,
KPN_02770,KPN_00778,0.402
KPN_02770,KPN_00779,
KPN_02770,KPN_00777,
KPN_02771,KPN_00778,
KPN_02771,KPN_00779,
KPN_02771,KPN_00777,
KPN_02772,KPN_00778,
KPN_02772,KPN_00779,
KPN_02772,KPN_00777,
KPN_00484,KPN_00930,
KPN_01274,KPN_00370,0.962
KPN_03021,KPN_00711,0.732
KPN_03858,KPN_04133,0.641
KPN_03858,KPN_04132,
KPN_03858,KPN_04131,0.537
KPN_03858,KPN_04130,0.707
KPN_04839,KPN_02238,0.915
KPN_02238,KPN_04492,0.884
KPN_03682,KPN_00075,0.942
KPN_03761,KPN_00332,0.953
KPN_02488,KPN_02494,
KPN_02495,KPN_02489,
